Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 1000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 5620
Event count: 5620000000

Children,Self,Command,Pid,Tid,Shared Object,Symbol,AccEventCount,SelfEventCount,EventName
17.95%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5a1538c],1009000000,0,cpu-clock
17.95%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5ab468c],1009000000,0,cpu-clock
17.94%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5a16f38],1008000000,0,cpu-clock
16.69%,0.04%,Chrome_InProcGp,29627,29705,/vendor/lib64/egl/libEGL_emulation.so,qemu_pipe_read,938000000,2000000,cpu-clock
16.62%,16.62%,Chrome_InProcGp,29627,29705,/apex/com.android.runtime/lib64/bionic/libc.so,read,934000000,934000000,cpu-clock
15.60%,0.23%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,void art::interpreter::ExecuteSwitchImplCpp<false>(art::interpreter::SwitchImplContext*),877000000,13000000,cpu-clock
15.60%,0.12%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,artQuickToInterpreterBridge,877000000,7000000,cpu-clock
15.60%,0.12%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,"bool art::interpreter::DoCall<false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, bool, art::JValue*)",877000000,7000000,cpu-clock
15.60%,0.09%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,art_quick_generic_jni_trampoline,877000000,5000000,cpu-clock
15.60%,0.09%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,art_quick_to_interpreter_bridge,877000000,5000000,cpu-clock
15.60%,0.07%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,art_quick_invoke_stub,877000000,4000000,cpu-clock
15.60%,0.04%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,"art::interpreter::ArtInterpreterToInterpreterBridge(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame*, art::JValue*)",877000000,2000000,cpu-clock
15.60%,0.04%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,"art::interpreter::Execute(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame&, art::JValue, bool, bool) (.__uniq.112435418011751916792819755956732575238.llvm.15926011731833139376)",877000000,2000000,cpu-clock
15.60%,0.02%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,art_quick_invoke_static_stub,877000000,1000000,cpu-clock
15.60%,0.00%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,ExecuteSwitchImplAsm,877000000,0,cpu-clock
15.60%,0.00%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,"_jobject* art::InvokeMethod<(art::PointerSize)8>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jobject*, _jobject*, unsigned long)",877000000,0,cpu-clock
15.60%,0.00%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,"art::Method_invoke(_JNIEnv*, _jobject*, _jobject*, _jobjectArray*) (.__uniq.165753521025965369065708152063621506277)",877000000,0,cpu-clock
15.60%,0.00%,com.professionballarena.game,29627,29627,/system/framework/framework.jar,android.app.ActivityThread.main,877000000,0,cpu-clock
15.60%,0.00%,com.professionballarena.game,29627,29627,/system/framework/framework.jar,android.os.Looper.loop,877000000,0,cpu-clock
15.55%,0.00%,com.professionballarena.game,29627,29627,[JIT app cache],android.os.Looper.loopOnce,874000000,0,cpu-clock
15.44%,0.00%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,"art::JNI<true>::CallStaticVoidMethodV(_JNIEnv*, _jclass*, _jmethodID*, std::__va_list)",868000000,0,cpu-clock
15.44%,0.00%,com.professionballarena.game,29627,29627,/apex/com.android.art/lib64/libart.so,"art::JValue art::InvokeWithVarArgs<_jmethodID*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jmethodID*, std::__va_list)",868000000,0,cpu-clock
15.44%,0.00%,com.professionballarena.game,29627,29627,/apex/com.android.runtime/lib64/bionic/libc.so,__libc_init,868000000,0,cpu-clock
15.44%,0.00%,com.professionballarena.game,29627,29627,/system/bin/app_process64,main,868000000,0,cpu-clock
15.44%,0.00%,com.professionballarena.game,29627,29627,/system/framework/arm64/boot-framework.oat,com.android.internal.os.ZygoteInit.main,868000000,0,cpu-clock
15.44%,0.00%,com.professionballarena.game,29627,29627,/system/framework/framework.jar,com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run,868000000,0,cpu-clock
15.44%,0.00%,com.professionballarena.game,29627,29627,/system/lib64/libandroid_runtime.so,"_JNIEnv::CallStaticVoidMethod(_jclass*, _jmethodID*, ...)",868000000,0,cpu-clock
15.44%,0.00%,com.professionballarena.game,29627,29627,/system/lib64/libandroid_runtime.so,"android::AndroidRuntime::start(char const*, android::Vector<android::String8> const&, bool)",868000000,0,cpu-clock
13.26%,0.00%,RenderThread,29627,29652,/system/lib64/libhwui.so,"android::uirenderer::skiapipeline::SkiaOpenGLPipeline::draw(android::uirenderer::renderthread::Frame const&, SkRect const&, SkRect const&, android::uirenderer::LightGeometry const&, android::uirenderer::LayerUpdateQueue*, android::uirenderer::Rect const&, bool, android::uirenderer::LightInfo const&, std::__1::vector<android::sp<android::uirenderer::RenderNode>, std::__1::allocator<android::sp<android::uirenderer::RenderNode>>> const&, android::uirenderer::FrameInfoVisualizer*, android::uirenderer::renderthread::HardwareBufferRenderParams const&, std::__1::mutex&)",745000000,0,cpu-clock
12.28%,0.07%,RenderThread,29627,29652,/system/lib64/libhwui.so,"android::uirenderer::skiapipeline::SkiaPipeline::renderFrame(android::uirenderer::LayerUpdateQueue const&, SkRect const&, std::__1::vector<android::sp<android::uirenderer::RenderNode>, std::__1::allocator<android::sp<android::uirenderer::RenderNode>>> const&, bool, android::uirenderer::Rect const&, sk_sp<SkSurface>, SkMatrix const&)",690000000,4000000,cpu-clock
12.08%,0.11%,RenderThread,29627,29652,/system/lib64/libhwui.so,android::uirenderer::skiapipeline::RenderNodeDrawable::onDraw(SkCanvas*),679000000,6000000,cpu-clock
12.05%,0.09%,RenderThread,29627,29652,/system/lib64/libhwui.so,android::uirenderer::skiapipeline::RenderNodeDrawable::drawContent(SkCanvas*) const,677000000,5000000,cpu-clock
