Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 1000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 5620
Event count: 5620000000

Overhead  Command                       Pid    Tid    Shared Object                                                                                                                                                        Symbol
0.07%     com.professionballarena.game  29627  29627  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       getuid
0.07%     com.professionballarena.game  29627  29627  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+372ba38]
0.07%     com.professionballarena.game  29627  29627  /system/lib64/libutils.so                                                                                                                                            android::Looper::pollOnce(int, int*, int*, void**)
0.07%     com.professionballarena.game  29627  29627  [JIT app cache]                                                                                                                                                      android.graphics.HardwareRenderer.notifyFramePending
0.07%     com.professionballarena.game  29627  29627  [JIT app cache]                                                                                                                                                      android.os.PerfettoTrace$Category.isEnabled
0.07%     com.professionballarena.game  29627  29627  [JIT app cache]                                                                                                                                                      android.view.ViewGroup.dispatchDraw
0.07%     com.professionballarena.game  29627  29627  [JIT app cache]                                                                                                                                                      android.view.ViewRootImpl.onDescendantInvalidated
0.07%     com.professionballarena.game  29627  29627  [JIT app cache]                                                                                                                                                      com.android.internal.hidden_from_bootclasspath.android.view.flags.FeatureFlagsImpl.bufferStuffingRecovery
0.05%     Chrome_ChildIOT               29627  29706  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __epoll_pwait
0.05%     Chrome_ChildIOT               29627  29706  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       syscall
0.05%     Chrome_ChildIOT               29627  29706  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5008b50]
0.05%     Chrome_InProcGp               29627  29705  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __aarch64_cas2_acq
0.05%     Chrome_InProcGp               29627  29705  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       pthread_mutex_lock
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2bb3530]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2c8d114]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2c967ec]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2d1384c]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2d508dc]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+4ff5f94]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+50c01cc]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+50c0214]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+50c6d98]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+50c6db0]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+50ce030]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5979cfc]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+59fafe4]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+59fd3e8]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a496b4]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a4b408]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a62c5c]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a87690]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a9277c]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a92804]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a9f170]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5c69774]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5c79934]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5c79f60]
0.05%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5c79fec]
0.05%     Chrome_InProcGp               29627  29705  /vendor/lib64/egl/libGLESv2_emulation.so                                                                                                                             @plt
