Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Children,Self,Command,Pid,Tid,Shared Object,Symbol,AccEventCount,SelfEventCount,EventName
19.12%,0.01%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,"art::interpreter::ArtInterpreterToInterpreterBridge(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame*, art::JValue*)",1642000000,750000,cpu-clock
19.11%,0.00%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,"_jobject* art::InvokeMethod<(art::PointerSize)8>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jobject*, _jobject*, unsigned long)",1641750000,0,cpu-clock
19.11%,0.00%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,"art::Method_invoke(_JNIEnv*, _jobject*, _jobject*, _jobjectArray*) (.__uniq.165753521025965369065708152063621506277)",1641750000,0,cpu-clock
19.11%,0.00%,com.professionballarena.game,27744,27744,/system/framework/framework.jar,android.app.ActivityThread.main,1641750000,0,cpu-clock
19.11%,0.00%,com.professionballarena.game,27744,27744,/system/framework/framework.jar,android.os.Looper.loop,1641750000,0,cpu-clock
19.05%,0.04%,com.professionballarena.game,27744,27744,[JIT app cache],android.os.Looper.loopOnce,1636250000,3500000,cpu-clock
19.01%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+684cff8],1633250000,0,cpu-clock
19.01%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+686d9d8],1632750000,0,cpu-clock
18.99%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+686d848],1630750000,0,cpu-clock
18.98%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+6871240],1630250000,0,cpu-clock
