Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Overhead  Command                       Pid    Tid    Shared Object                                                                                                                                                        Symbol
0.05%     binder:27744_7                27744  27894  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __close
0.05%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.os.MessageQueue.getUseConcurrent
0.05%     Chrome_InProcGp               27744  27829  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       pthread_mutex_lock
0.05%     Chrome_InProcGp               27744  27829  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
0.05%     Profile Saver                 27744  27768  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __strlen_aarch64
0.05%     RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
0.05%     RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::skiapipeline::RenderNodeDrawable::onDraw(SkCanvas*)
0.05%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::jit::Jit::MaybeDoOnStackReplacement(art::Thread*, art::ArtMethod*, unsigned int, int, art::JValue*)
0.05%     com.professionballarena.game  27744  27744  /system/lib64/libandroid_runtime.so                                                                                                                                  @plt
0.05%     com.professionballarena.game  27744  27744  /system/lib64/libgui.so                                                                                                                                              @plt
0.05%     Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a01db4]
0.05%     Chrome_InProcGp               27744  27829  /vendor/lib64/libOpenglSystemCommon.so                                                                                                                               HostConnection::gl2Encoder()
