Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Children  Self    Command                       Pid    Tid    Shared Object                                                                                                                                                        Symbol
10.91%    0.01%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::skiapipeline::SkiaPipeline::renderFrame(android::uirenderer::LayerUpdateQueue const&, SkRect const&, std::__1::vector<android::sp<android::uirenderer::RenderNode>, std::__1::allocator<android::sp<android::uirenderer::RenderNode>>> const&, bool, android::uirenderer::Rect const&, sk_sp<SkSurface>, SkMatrix const&)
10.85%    0.06%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::skiapipeline::RenderNodeDrawable::drawContent(SkCanvas*) const
10.85%    0.05%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::skiapipeline::RenderNodeDrawable::onDraw(SkCanvas*)
10.81%    0.05%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             SkDrawable::draw(SkCanvas*, SkMatrix const*)
10.50%    0.00%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::$_38::__invoke(void const*, SkCanvas*, SkMatrix const&) (.__uniq.150848978645254602633048518174355561839.llvm.5283597335554652210)
10.49%    0.01%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             skgpu::ganesh::Device::drawDrawable(SkCanvas*, SkDrawable*, SkMatrix const*)
10.47%    0.01%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::skiapipeline::GLFunctorDrawable::onDraw(SkCanvas*)
10.16%    0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a1b04c]
10.14%    0.00%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::WebViewFunctor::drawGl(android::uirenderer::DrawGlInfo const&)
10.04%    0.01%   RenderThread                  27744  27777  /system/lib64/libwebviewchromium_plat_support.so                                                                                                                     android::(anonymous namespace)::draw_gl(int, void*, android::uirenderer::DrawGlInfo const&, android::uirenderer::WebViewOverlayData const&)
